GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejerTestParam,com.mycompany.ejertestparam,Fibonacci,45,3,2,0,10,1,2,1,1,1
ejerTestParam,com.mycompany.ejertestparam,Calculadora,0,19,0,0,0,5,0,5,0,5
ejerTestParam,com.mycompany.ejertestparam,NumeroPrimo,21,3,4,0,4,2,3,1,1,1
ejerTestParam,com.mycompany.ejertestparam,Palindromo,74,3,6,0,13,1,4,1,1,1
ejerTestParam,com.mycompany.ejertestparam,Utilidades,2,23,3,3,1,4,3,3,0,3
ejerTestParam,com.mycompany.ejertestparam,Triangulo,6,33,7,9,0,9,5,5,0,2
